first_name,last_name,age,email,country,postal_code,favorite_color,frequency_of_visits,favorite_menu_item,employment_status,Gender
Basilius,Atcheson,37,batcheson0@mozilla.org,Vietnam,,red,4.4,Big Mac,Full-time,Male
Elston,Egar,51,eegar1@tuttocitta.it,China,,blue,0.6,McNuggets,Part-time,Male
Stormi,Goldsby,51,sgoldsby2@ibm.com,Indonesia,,red,5.5,Quarter Pounder,Retired,Female
Allie,Eskrick,35,aeskrick3@prlog.org,Portugal,7005-724,blue,5.2,Quarter Pounder,Retired,Male
Cornela,Skeffington,81,cskeffington4@archive.org,China,,red,0.9,McNuggets,Student,Female
Cyndy,Hanham,37,chanham5@yahoo.com,China,,red,2.5,Quarter Pounder,Part-time,Female
Napoleon,Coldrick,37,ncoldrick6@timesonline.co.uk,Japan,899-5241,blue,0.3,Quarter Pounder,Part-time,Male
Delcina,Jandera,61,djandera7@archive.org,Sweden,111 61,red,4.6,Big Mac,Full-time,Female
Avram,Yerrell,34,ayerrell8@pen.io,Indonesia,,blue,3.6,Quarter Pounder,Part-time,Male
Tucky,Hawtry,40,thawtry9@sakura.ne.jp,Russia,356003,green,3.2,Big Mac,Full-time,Male
Creighton,Dunkerley,55,cdunkerleya@pinterest.com,Macedonia,2423,red,2.1,McNuggets,Full-time,Male
Godfree,Rotter,52,grotterb@skype.com,Ireland,Y25,blue,0.5,Big Mac,Part-time,Male
Jana,Gracewood,66,jgracewoodc@cam.ac.uk,Colombia,731048,green,1.4,McNuggets,Part-time,Female
Alana,Klimkiewich,22,aklimkiewichd@deviantart.com,Guatemala,12027,red,6.9,Quarter Pounder,Student,Female
Aimil,Drydale,40,adrydalee@paypal.com,Uruguay,,red,6.9,Big Mac,Student,Female
Padraic,Bosence,23,pbosencef@cam.ac.uk,South Africa,0815,red,5.4,Quarter Pounder,Retired,Male
Margarete,Mitten,20,mmitteng@alibaba.com,Brazil,35660-000,green,0.5,McNuggets,Student,Female
Dominic,Dilnot,18,ddilnoth@reuters.com,Netherlands,5029,green,5.2,McNuggets,Retired,Male
