first_name,last_name,age,email,country,postal_code,favorite_color,frequency_of_visits,favorite_menu_item,employment_status,Gender,Is Male,Above 30,Below 30
Basilius,Atcheson,37,batcheson0@mozilla.org,Vietnam,,red,4.4,Big Mac,Full-time,Male,1,1,0
Elston,Egar,51,eegar1@tuttocitta.it,China,,blue,0.6,McNuggets,Part-time,Male,1,1,0
Stormi,Goldsby,51,sgoldsby2@ibm.com,Indonesia,,red,5.5,Quarter Pounder,Retired,Female,0,1,0
Allie,Eskrick,35,aeskrick3@prlog.org,Portugal,7005-724,blue,5.2,Quarter Pounder,Retired,Male,1,1,0
Cornela,Skeffington,81,cskeffington4@archive.org,China,,red,0.9,McNuggets,Student,Female,0,1,0
Cyndy,Hanham,37,chanham5@yahoo.com,China,,red,2.5,Quarter Pounder,Part-time,Female,0,1,0
Napoleon,Coldrick,37,ncoldrick6@timesonline.co.uk,Japan,899-5241,blue,0.3,Quarter Pounder,Part-time,Male,1,1,0
Delcina,Jandera,61,djandera7@archive.org,Sweden,111 61,red,4.6,Big Mac,Full-time,Female,0,1,0
Avram,Yerrell,34,ayerrell8@pen.io,Indonesia,,blue,3.6,Quarter Pounder,Part-time,Male,1,1,0
Tucky,Hawtry,40,thawtry9@sakura.ne.jp,Russia,356003,green,3.2,Big Mac,Full-time,Male,1,1,0
Creighton,Dunkerley,55,cdunkerleya@pinterest.com,Macedonia,2423,red,2.1,McNuggets,Full-time,Male,1,1,0
Godfree,Rotter,52,grotterb@skype.com,Ireland,Y25,blue,0.5,Big Mac,Part-time,Male,1,1,0
Jana,Gracewood,66,jgracewoodc@cam.ac.uk,Colombia,731048,green,1.4,McNuggets,Part-time,Female,0,1,0
Alana,Klimkiewich,22,aklimkiewichd@deviantart.com,Guatemala,12027,red,6.9,Quarter Pounder,Student,Female,0,0,1
Aimil,Drydale,40,adrydalee@paypal.com,Uruguay,,red,6.9,Big Mac,Student,Female,0,1,0
Padraic,Bosence,23,pbosencef@cam.ac.uk,South Africa,0815,red,5.4,Quarter Pounder,Retired,Male,1,0,1
Margarete,Mitten,20,mmitteng@alibaba.com,Brazil,35660-000,green,0.5,McNuggets,Student,Female,0,0,1
Dominic,Dilnot,18,ddilnoth@reuters.com,Netherlands,5029,green,5.2,McNuggets,Retired,Male,1,0,1
Roger,Kitchinghan,37,rkitchinghani@arstechnica.com,China,,red,3.5,Big Mac,Part-time,Male,1,1,0
Shel,Welbelove,62,swelbelovej@blogs.com,Zimbabwe,,green,2.3,Quarter Pounder,Retired,Female,0,1,0
Travers,Fisbey,78,tfisbeyk@paginegialle.it,Russia,301042,green,1.4,Big Mac,Part-time,Male,1,1,0
Hewie,Bircher,72,hbircherl@wikispaces.com,Sweden,572 60,red,2.9,Big Mac,Part-time,Male,1,1,0
Glyn,Burstow,28,gburstowm@constantcontact.com,Democratic Republic of the Congo,,green,1.1,Big Mac,Full-time,Male,1,0,1
Granthem,Moult,32,gmoultn@a8.net,Macedonia,7316,red,3.3,McNuggets,Student,Male,1,1,0
Meara,Grand,71,mgrando@ameblo.jp,Saudi Arabia,,green,0.0,Big Mac,Full-time,Female,0,1,0
Renato,Hartless,83,rhartlessp@alexa.com,Czech Republic,264 01,blue,2.1,Big Mac,Full-time,Male,1,1,0
Skipper,Moorman,21,smoormanq@odnoklassniki.ru,China,,blue,4.4,Big Mac,Part-time,Male,1,0,1
Rustin,Udell,27,rudellr@skype.com,China,,red,1.1,Big Mac,Full-time,Male,1,0,1
Ninette,Gisburn,21,ngisburns@dropbox.com,China,,blue,6.8,McNuggets,Student,Female,0,0,1
Nickolas,Crosse,85,ncrosset@accuweather.com,Indonesia,,red,3.8,Quarter Pounder,Student,Male,1,1,0
Margret,Woolacott,64,mwoolacottu@huffingtonpost.com,China,,green,5.1,Big Mac,Retired,Female,0,1,0
Filberto,Pylkynyton,20,fpylkynytonv@squidoo.com,Croatia,48356,green,5.2,Big Mac,Student,Male,1,0,1
Simon,Leynagh,77,sleynaghw@walmart.com,Peru,,red,6.9,Big Mac,Student,Male,1,1,0
Wendi,Lafflin,55,wlafflinx@printfriendly.com,Afghanistan,,red,5.0,Quarter Pounder,Student,Female,0,1,0
Quentin,Eytel,41,qeytely@tinypic.com,Indonesia,,green,2.2,Quarter Pounder,Retired,Female,0,1,0
Petronille,O'Carroll,54,pocarrollz@behance.net,Thailand,84280,green,1.6,Quarter Pounder,Full-time,Female,0,1,0
Deina,Darke,20,ddarke10@house.gov,Philippines,8014,green,1.9,McNuggets,Student,Female,0,0,1
Marlowe,Furmston,39,mfurmston11@opera.com,Paraguay,,blue,4.4,McNuggets,Full-time,Male,1,1,0
Esdras,Glusby,45,eglusby12@opera.com,Morocco,,green,1.9,Quarter Pounder,Part-time,Male,1,1,0
Boone,Sorrell,31,bsorrell13@goo.ne.jp,Sudan,,green,5.0,Quarter Pounder,Student,Male,1,1,0
Carrol,Goldster,76,cgoldster14@symantec.com,China,,green,7.0,Big Mac,Student,Male,1,1,0
Starr,Battison,29,sbattison15@elegantthemes.com,Vietnam,,red,3.5,Big Mac,Full-time,Female,0,0,1
Dulcine,Glentworth,18,dglentworth16@shutterfly.com,China,,red,0.7,Big Mac,Retired,Female,0,0,1
Walden,Mortlock,40,wmortlock17@reverbnation.com,Russia,445564,blue,2.1,Big Mac,Student,Male,1,1,0
Ardella,Gioani,40,agioani18@senate.gov,Pitcairn,,green,3.4,McNuggets,Part-time,Female,0,1,0
